,name,start_clash,target_clash,rmsd,glide_score,score_no_vdw,modified_score_no_vdws
28,"71_-1,-1,1_10,-5,-5",52.67545343,24.26495743,3.467236271,10000,-1.585,-1.585
29,"71_-1,-1,1_10,0,-5",43.70684999,27.80016349,3.412945329,10000,-2.62,-2.62
30,"71_-1,-1,1_15,-15,-10",68.56597091,29.62244214,3.808689156,10000,-2.38,-2.38
31,"71_-1,-1,1_15,-15,-5",81.50284487,28.17783195,3.79774832,10000,-2.7,-2.7
32,"71_-1,-1,1_15,-10,-10",55.40372473,26.4865874,3.701605008,10000,-2.705,-2.705
33,"71_-1,-1,1_15,-10,-5",67.50927198,24.20428881,3.679032095,10000,-2.75,-2.75
34,"71_-1,-1,1_15,-5,-10",43.74683706,25.07885563,3.615347848,10000,-2.37,-2.37
35,"71_-1,-1,1_15,-5,-5",54.51352932,22.30254916,3.583113045,10000,-2.35,-2.35
36,"71_-1,-1,1_15,0,-10",39.30563952,27.9647818,3.551788218,10000,-3.175,-3.175
37,"71_-1,-1,1_15,0,-5",44.3905646,23.88519019,3.512614639,10000,-1.68,-1.68
38,"71_-1,-1,1_15,0,0",62.0455209,29.87989066,3.513088265,10000,-4.36,-4.36
39,"71_-1,-1,1_20,-10,-10",58.61367168,28.1861361,3.850020764,10000,-2.77,-2.77
40,"71_-1,-1,1_20,-10,-5",72.72866753,29.24789325,3.824881175,10000,-2.095,-2.095
41,"71_-1,-1,1_20,-5,-10",46.44503584,25.45662609,3.753571449,10000,-3.33,-3.33
42,"71_-1,-1,1_20,-5,-5",58.17921695,24.74825208,3.716595788,10000,-2.67,-2.67
43,"71_-1,-1,1_20,0,-10",40.17042297,26.05611758,3.677971819,10000,-3.66,-3.66
44,"71_-1,-1,1_20,0,-5",46.77795866,24.00530411,3.631849367,10000,-2.345,-2.345
45,"71_-1,-1,1_20,5,-5",43.55742944,28.48668239,3.572981367,10000,-3.105,-3.105
