protein,target,start,num_conformers,num_poses_searched,num_correct_poses_found,time_elapsed,time_elapsed_per_conformer,grid_loc_x,grid_loc_y,grid_loc_z,num_after_simple_200,num_correct_after_simple_200,num_after_simple_100,num_correct_after_simple_100,num_after_ideal_advanced_15,num_correct_after_ideal_advanced_15,num_after_simple_100_ideal_advanced_15,num_correct_after_simple_100_ideal_advanced_15
C8B467,5jfu,5jfp,300,659100,0,1938.512902,6.461709675,-1,1,-1,197481,0,16718,0,0,0,0,0
C8B467,5jfu,5jfp,300,659100,134,1895.277627,6.31759209,-1,1,0,159897,134,10062,29,0,0,0,0
C8B467,5jfu,5jfp,300,659100,12,2080.520984,6.935069946,-1,1,1,87896,12,1186,0,0,0,0,0
C8B467,5jfu,5jfp,300,659100,95,1840.642513,6.135475044,0,-1,-1,281006,95,50492,95,1,0,1,0
C8B467,5jfu,5jfp,300,659100,1691,1819.221315,6.064071049,0,-1,0,296342,1691,63377,1643,320,61,320,61
C8B467,5jfu,5jfp,300,659100,173,2115.430805,7.051436018,0,-1,1,274103,173,56425,173,527,48,527,48
C8B467,5jfu,5jfp,300,659100,1486,2086.558579,6.955195265,0,0,-1,317977,1486,66373,1437,101,18,101,18
C8B467,5jfu,5jfp,300,659100,6977,2079.681263,6.932270877,0,0,0,318312,6977,77145,6225,1650,921,1650,921
C8B467,5jfu,5jfp,300,659100,2650,2293.830688,7.646102292,0,0,1,287583,2650,58450,2321,604,99,604,99
C8B467,5jfu,5jfp,300,659100,172,2161.969871,7.206566236,0,1,-1,259287,172,37560,171,0,0,0,0
C8B467,5jfu,5jfp,300,659100,2519,2160.720351,7.202401171,0,1,0,243241,2519,37696,1726,28,0,28,0
C8B467,5jfu,5jfp,300,659100,690,2197.323504,7.32441168,0,1,1,198466,690,17369,329,29,0,29,0
